--- users ---
id,username,email,created_at,is_active
1,alice,alice@example.com,2024-01-15 10:00:00,1
2,bob,bob@example.com,2024-01-16 11:30:00,1
3,charlie,charlie@example.com,2024-01-17 09:15:00,1
4,diana,diana@example.com,2024-01-18 14:00:00,1
5,eve,eve@example.com,2024-01-19 08:45:00,0
6,frank,frank@example.com,2024-01-20 16:20:00,1
7,grace,grace@example.com,2024-01-21 12:00:00,1
8,henry,henry@example.com,2024-01-22 10:30:00,1
9,ivan,ivan@example.com,2024-01-23 15:45:00,0
10,julia,julia@example.com,2024-01-24 09:00:00,1
11,karl,karl@example.com,2024-01-25 11:00:00,1
12,luna,luna@example.com,2024-01-26 13:30:00,1
13,marco,marco@example.com,2024-01-27 10:00:00,1
14,nina,nina@example.com,2024-01-28 14:15:00,1
15,oscar,oscar@example.com,2024-01-29 08:30:00,0
16,petra,petra@example.com,2024-01-30 16:00:00,1
17,quinn,quinn@example.com,2024-01-31 12:45:00,1
18,ravi,ravi@example.com,2024-02-01 10:00:00,1
19,sarah,sarah@example.com,2024-02-02 11:30:00,1
20,tomás,tomas@example.com,2024-02-03 09:00:00,1

--- products ---
id,name,category,price,stock,created_at
1,Wireless Mouse,Electronics,29.99,141,2024-01-10 08:00:00
2,USB Keyboard,Electronics,49.99,74,2024-01-10 08:00:00
3,Widget Pro,Electronics,29.99,72,2024-01-10 08:00:00
4,Webcam HD,Electronics,79.99,40,2024-01-10 08:00:00
5,Bluetooth Speaker,Electronics,39.99,53,2024-01-10 08:00:00
6,Phone Charger,Electronics,19.99,293,2024-01-10 08:00:00
7,Gadget Plus,Electronics,79.99,33,2024-01-11 09:00:00
8,SQL Mastery,Books,35.0,44,2024-01-11 09:00:00
9,Data Science 101,Books,55.0,21,2024-01-11 09:00:00
10,Clean Code,Books,40.0,34,2024-01-11 09:00:00
11,Design Patterns,Books,50.0,16,2024-01-11 09:00:00
13,Cotton T-Shirt,Clothing,15.99,193,2024-01-12 10:00:00
14,Denim Jeans,Clothing,39.99,93,2024-01-12 10:00:00
15,Running Shoes,Clothing,89.99,48,2024-01-12 10:00:00
16,Winter Jacket,Clothing,129.99,27,2024-01-12 10:00:00
17,Wool Scarf,Clothing,24.99,76,2024-01-12 10:00:00
18,Tool Advanced,Tools,149.99,21,2024-01-12 10:00:00
19,Desk Lamp,Home,32.99,64,2024-01-13 11:00:00
20,Coffee Maker,Home,89.99,20,2024-01-13 11:00:00
21,Throw Pillow,Home,18.99,148,2024-01-13 11:00:00
22,Wall Clock,Home,27.99,36,2024-01-13 11:00:00
23,Bookshelf,Home,149.99,8,2024-01-13 11:00:00
24,Candle Set,Home,14.99,84,2024-01-13 11:00:00
26,Dumbbells 10kg,Sports,45.99,30,2024-01-14 12:00:00
27,Jump Rope,Sports,9.99,197,2024-01-14 12:00:00
28,Water Bottle,Sports,12.99,171,2024-01-14 12:00:00
29,Resistance Bands,Sports,19.99,118,2024-01-14 12:00:00
30,Tennis Racket,Sports,79.99,17,2024-01-14 12:00:00

--- orders ---
id,user_id,product_id,quantity,total,ordered_at
1,1,1,2,59.98,2024-02-01 09:00:00
2,1,7,1,79.99,2024-02-01 09:15:00
3,1,13,3,47.97,2024-02-01 10:00:00
4,1,19,1,32.99,2024-02-02 11:00:00
6,2,2,1,49.99,2024-02-01 10:00:00
7,2,8,2,70.0,2024-02-01 11:00:00
8,2,14,1,39.99,2024-02-02 09:00:00
9,2,20,1,89.99,2024-02-03 15:00:00
10,2,26,1,45.99,2024-02-04 10:00:00
11,3,3,5,149.95,2024-02-01 08:00:00
12,3,9,1,55.0,2024-02-02 09:30:00
13,3,15,1,89.99,2024-02-03 10:00:00
14,3,21,2,37.98,2024-02-04 11:00:00
15,3,27,3,29.97,2024-02-05 12:00:00
16,4,4,1,79.99,2024-02-01 13:00:00
17,4,10,1,40.0,2024-02-02 14:00:00
18,4,16,1,129.99,2024-02-03 15:00:00
19,4,22,2,55.98,2024-02-04 16:00:00
20,4,28,4,51.96,2024-02-05 17:00:00
21,5,5,1,39.99,2024-02-01 09:00:00
22,5,11,1,50.0,2024-02-02 10:00:00
23,5,17,2,49.98,2024-02-03 11:00:00
24,6,6,3,59.97,2024-02-01 12:00:00
26,6,18,2,299.98,2024-02-03 14:00:00
27,6,24,1,14.99,2024-02-04 15:00:00
28,6,30,1,79.99,2024-02-05 16:00:00
29,7,1,1,29.99,2024-02-02 09:00:00
30,7,7,2,159.98,2024-02-03 10:00:00
31,7,13,1,15.99,2024-02-04 11:00:00
32,7,19,2,65.98,2024-02-05 12:00:00
34,8,2,2,99.98,2024-02-02 14:00:00
35,8,8,1,35.0,2024-02-03 15:00:00
36,8,14,3,119.97,2024-02-04 16:00:00
37,8,20,1,89.99,2024-02-05 17:00:00
38,8,26,2,91.98,2024-02-06 18:00:00
39,9,3,2,59.98,2024-02-02 08:00:00
40,9,9,1,55.0,2024-02-03 09:00:00
41,9,15,1,89.99,2024-02-04 10:00:00
42,10,4,2,159.98,2024-02-02 11:00:00
43,10,10,3,120.0,2024-02-03 12:00:00
44,10,16,1,129.99,2024-02-04 13:00:00
45,10,22,1,27.99,2024-02-05 14:00:00
46,10,28,2,25.98,2024-02-06 15:00:00
47,11,5,2,79.98,2024-02-03 09:00:00
48,11,11,1,50.0,2024-02-04 10:00:00
49,11,17,1,24.99,2024-02-05 11:00:00
50,11,23,1,149.99,2024-02-06 12:00:00
51,12,6,2,39.98,2024-02-03 13:00:00
53,12,18,1,149.99,2024-02-05 15:00:00
54,12,24,3,44.97,2024-02-06 16:00:00
55,12,30,1,79.99,2024-02-07 17:00:00
56,13,1,3,89.97,2024-02-04 09:00:00
57,13,7,1,79.99,2024-02-05 10:00:00
58,13,13,2,31.98,2024-02-06 11:00:00
59,13,19,1,32.99,2024-02-07 12:00:00
61,14,2,1,49.99,2024-02-04 14:00:00
62,14,8,1,35.0,2024-02-05 15:00:00
63,14,14,2,79.98,2024-02-06 16:00:00
64,14,20,1,89.99,2024-02-07 17:00:00
